Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
TopsoilOrganicCarbonContent,Class,OrganicCarbonContent,IS-A,,,,An OrganicCarbonContent representing the amount or proportion of organic carbon contained within the topsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilOrganicCarbonContent
BulkDensity,Class,SoilProperty,IS-A,,,,"A SoilProperty representing the dry mass of soil per unit volume, including the volume occupied by pore spaces, at a specified location and, where applicable, at a specified time.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,BulkDensity
SubsoilBulkDensity,Class,BulkDensity,IS-A,,,,A BulkDensity representing the dry mass of soil per unit volume within the subsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilBulkDensity
TopsoilBulkDensity,Class,BulkDensity,IS-A,,,,A BulkDensity representing the dry mass of soil per unit volume within the topsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilBulkDensity
AvailableRootingDepth,Class,SoilProperty,IS-A,,,,A SoilProperty representing the vertical depth of soil available for plant root growth and development at a specified location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,AvailableRootingDepth
hasSubsoilWaterContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,SubsoilWaterContent,,Relates a Location to the SubsoilWaterContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasSubsoilWaterContent
hasTopsoilWaterContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,TopsoilWaterContent,,Relates a Location to the TopsoilWaterContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasTopsoilWaterContent
hasSubsoilClayContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,SubsoilClayContent,,Relates a Location to the SubsoilClayContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasSubsoilClayContent
hasTopsoilClayContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,TopsoilClayContent,,Relates a Location to the TopsoilClayContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasTopsoilClayContent
hasSubsoilSandContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,SubsoilSandContent,,Relates a Location to the SubsoilSandContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasSubsoilSandContent
hasTopsoilSandContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,TopsoilSandContent,,Relates a Location to the TopsoilSandContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasTopsoilSandContent
hasSubsoilSiltContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,SubsoilSiltContent,,Relates a Location to the SubsoilSiltContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasSubsoilSiltContent
hasTopsoilSiltContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,TopsoilSiltContent,,Relates a Location to the TopsoilSiltContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasTopsoilSiltContent
hasSubsoilGravelContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,SubsoilGravelContent,,Relates a Location to the SubsoilGravelContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasSubsoilGravelContent
hasTopsoilGravelContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,TopsoilGravelContent,,Relates a Location to the TopsoilGravelContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasTopsoilGravelContent
hasSubsoilTextureClass,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,SubsoilTextureClass,,Relates a Location to the SubsoilOrganicCarbonContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasSubsoilTextureClass
hasTopsoilTextureClass,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,TopsoilTextureClass,,Relates a Location to the TopsoilOrganicCarbonContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasTopsoilTextureClass
hasSubsoilOrganicCarbonContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,SubsoilOrganicCarbonContent,,Relates a Location to the SubsoilOrganicCarbonContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasSubsoilOrganicCarbonContent
hasTopsoilOrganicCarbonContent,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,TopsoilOrganicCarbonContent,,Relates a Location to the TopsoilOrganicCarbonContent observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasTopsoilOrganicCarbonContent
hasSubsoilBulkDensity,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,SubsoilBulkDensity,,Relates a Location to the SubsoilBulkDensity observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasSubsoilBulkDensity
hasTopsoilBulkDensity,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,TopsoilBulkDensity,,Relates a Location to the TopsoilBulkDensity observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasTopsoilBulkDensity
hasAvailableRootingDepth,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,AvailableRootingDepth,,Relates a Location to the AvailableRootingDepth observed at that location.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasAvailableRootingDepth
http://www.opengis.net/ont/geosparql#hasGeometry,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,http://www.opengis.net/ont/geosparql#Geometry,,,http://www.opengis.net/ont/geosparql,hasGeometry
http://www.opengis.net/ont/geosparql#asWKT,Data Property,,,http://www.opengis.net/ont/geosparql#Geometry,http://www.opengis.net/ont/geosparql#wktLiteral,,,http://www.opengis.net/ont/geosparql,asWKT
https://www.ordnancesurvey.co.uk/linked-data/ontology/spatialrelations.owl#easting,Data Property,,,http://www.opengis.net/ont/geosparql#Geometry,double,,,https://www.ordnancesurvey.co.uk/linked-data/ontology/spatialrelations.owl,easting
https://www.ordnancesurvey.co.uk/linked-data/ontology/spatialrelations.owl#northing,Data Property,,,http://www.opengis.net/ont/geosparql#Geometry,double,,,https://www.ordnancesurvey.co.uk/linked-data/ontology/spatialrelations.owl,northing
